~~~~~~~~~~~~~~~
Text File : monsname_kor.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	알
MONSNAME_001	이상해씨
MONSNAME_002	이상해풀
MONSNAME_003	이상해꽃
MONSNAME_004	파이리
MONSNAME_005	리자드
MONSNAME_006	리자몽
MONSNAME_007	꼬부기
MONSNAME_008	어니부기
MONSNAME_009	거북왕
MONSNAME_010	캐터피
MONSNAME_011	단데기
MONSNAME_012	버터플
MONSNAME_013	뿔충이
MONSNAME_014	딱충이
MONSNAME_015	독침붕
MONSNAME_016	구구
MONSNAME_017	피죤
MONSNAME_018	피죤투
MONSNAME_019	꼬렛
MONSNAME_020	레트라
MONSNAME_021	깨비참
MONSNAME_022	깨비드릴조
MONSNAME_023	아보
MONSNAME_024	아보크
MONSNAME_025	피카츄
MONSNAME_026	라이츄
MONSNAME_027	모래두지
MONSNAME_028	고지
MONSNAME_029	니드런♀
MONSNAME_030	니드리나
MONSNAME_031	니드퀸
MONSNAME_032	니드런♂
MONSNAME_033	니드리노
MONSNAME_034	니드킹
MONSNAME_035	삐삐
MONSNAME_036	픽시
MONSNAME_037	식스테일
MONSNAME_038	나인테일
MONSNAME_039	푸린
MONSNAME_040	푸크린
MONSNAME_041	주뱃
MONSNAME_042	골뱃
MONSNAME_043	뚜벅쵸
MONSNAME_044	냄새꼬
MONSNAME_045	라플레시아
MONSNAME_046	파라스
MONSNAME_047	파라섹트
MONSNAME_048	콘팡
MONSNAME_049	도나리
MONSNAME_050	디그다
MONSNAME_051	닥트리오
MONSNAME_052	나옹
MONSNAME_053	페르시온
MONSNAME_054	고라파덕
MONSNAME_055	골덕
MONSNAME_056	망키
MONSNAME_057	성원숭
MONSNAME_058	가디
MONSNAME_059	윈디
MONSNAME_060	발챙이
MONSNAME_061	슈륙챙이
MONSNAME_062	강챙이
MONSNAME_063	캐이시
MONSNAME_064	윤겔라
MONSNAME_065	후딘
MONSNAME_066	알통몬
MONSNAME_067	근육몬
MONSNAME_068	괴력몬
MONSNAME_069	모다피
MONSNAME_070	우츠동
MONSNAME_071	우츠보트
MONSNAME_072	왕눈해
MONSNAME_073	독파리
MONSNAME_074	꼬마돌
MONSNAME_075	데구리
MONSNAME_076	딱구리
MONSNAME_077	포니타
MONSNAME_078	날쌩마
MONSNAME_079	야돈
MONSNAME_080	야도란
MONSNAME_081	코일
MONSNAME_082	레어코일
MONSNAME_083	파오리
MONSNAME_084	두두
MONSNAME_085	두트리오
MONSNAME_086	쥬쥬
MONSNAME_087	쥬레곤
MONSNAME_088	질퍽이
MONSNAME_089	질뻐기
MONSNAME_090	셀러
MONSNAME_091	파르셀
MONSNAME_092	고오스
MONSNAME_093	고우스트
MONSNAME_094	팬텀
MONSNAME_095	롱스톤
MONSNAME_096	슬리프
MONSNAME_097	슬리퍼
MONSNAME_098	크랩
MONSNAME_099	킹크랩
MONSNAME_100	찌리리공
MONSNAME_101	붐볼
MONSNAME_102	아라리
MONSNAME_103	나시
MONSNAME_104	탕구리
MONSNAME_105	텅구리
MONSNAME_106	시라소몬
MONSNAME_107	홍수몬
MONSNAME_108	내루미
MONSNAME_109	또가스
MONSNAME_110	또도가스
MONSNAME_111	뿔카노
MONSNAME_112	코뿌리
MONSNAME_113	럭키
MONSNAME_114	덩쿠리
MONSNAME_115	캥카
MONSNAME_116	쏘드라
MONSNAME_117	시드라
MONSNAME_118	콘치
MONSNAME_119	왕콘치
MONSNAME_120	별가사리
MONSNAME_121	아쿠스타
MONSNAME_122	마임맨
MONSNAME_123	스라크
MONSNAME_124	루주라
MONSNAME_125	에레브
MONSNAME_126	마그마
MONSNAME_127	쁘사이저
MONSNAME_128	켄타로스
MONSNAME_129	잉어킹
MONSNAME_130	갸라도스
MONSNAME_131	라프라스
MONSNAME_132	메타몽
MONSNAME_133	이브이
MONSNAME_134	샤미드
MONSNAME_135	쥬피썬더
MONSNAME_136	부스터
MONSNAME_137	폴리곤
MONSNAME_138	암나이트
MONSNAME_139	암스타
MONSNAME_140	투구
MONSNAME_141	투구푸스
MONSNAME_142	프테라
MONSNAME_143	잠만보
MONSNAME_144	프리져
MONSNAME_145	썬더
MONSNAME_146	파이어
MONSNAME_147	미뇽
MONSNAME_148	신뇽
MONSNAME_149	망나뇽
MONSNAME_150	뮤츠
MONSNAME_151	뮤
MONSNAME_152	치코리타
MONSNAME_153	베이리프
MONSNAME_154	메가니움
MONSNAME_155	브케인
MONSNAME_156	마그케인
MONSNAME_157	블레이범
MONSNAME_158	리아코
MONSNAME_159	엘리게이
MONSNAME_160	장크로다일
MONSNAME_161	꼬리선
MONSNAME_162	다꼬리
MONSNAME_163	부우부
MONSNAME_164	야부엉
MONSNAME_165	레디바
MONSNAME_166	레디안
MONSNAME_167	페이검
MONSNAME_168	아리아도스
MONSNAME_169	크로뱃
MONSNAME_170	초라기
MONSNAME_171	랜턴
MONSNAME_172	피츄
MONSNAME_173	삐
MONSNAME_174	푸푸린
MONSNAME_175	토게피
MONSNAME_176	토게틱
MONSNAME_177	네이티
MONSNAME_178	네이티오
MONSNAME_179	메리프
MONSNAME_180	보송송
MONSNAME_181	전룡
MONSNAME_182	아르코
MONSNAME_183	마릴
MONSNAME_184	마릴리
MONSNAME_185	꼬지모
MONSNAME_186	왕구리
MONSNAME_187	통통코
MONSNAME_188	두코
MONSNAME_189	솜솜코
MONSNAME_190	에이팜
MONSNAME_191	해너츠
MONSNAME_192	해루미
MONSNAME_193	왕자리
MONSNAME_194	우파
MONSNAME_195	누오
MONSNAME_196	에브이
MONSNAME_197	블래키
MONSNAME_198	니로우
MONSNAME_199	야도킹
MONSNAME_200	무우마
MONSNAME_201	안농
MONSNAME_202	마자용
MONSNAME_203	키링키
MONSNAME_204	피콘
MONSNAME_205	쏘콘
MONSNAME_206	노고치
MONSNAME_207	글라이거
MONSNAME_208	강철톤
MONSNAME_209	블루
MONSNAME_210	그랑블루
MONSNAME_211	침바루
MONSNAME_212	핫삼
MONSNAME_213	단단지
MONSNAME_214	헤라크로스
MONSNAME_215	포푸니
MONSNAME_216	깜지곰
MONSNAME_217	링곰
MONSNAME_218	마그마그
MONSNAME_219	마그카르고
MONSNAME_220	꾸꾸리
MONSNAME_221	메꾸리
MONSNAME_222	코산호
MONSNAME_223	총어
MONSNAME_224	대포무노
MONSNAME_225	딜리버드
MONSNAME_226	만타인
MONSNAME_227	무장조
MONSNAME_228	델빌
MONSNAME_229	헬가
MONSNAME_230	킹드라
MONSNAME_231	코코리
MONSNAME_232	코리갑
MONSNAME_233	폴리곤2
MONSNAME_234	노라키
MONSNAME_235	루브도
MONSNAME_236	배루키
MONSNAME_237	카포에라
MONSNAME_238	뽀뽀라
MONSNAME_239	에레키드
MONSNAME_240	마그비
MONSNAME_241	밀탱크
MONSNAME_242	해피너스
MONSNAME_243	라이코
MONSNAME_244	앤테이
MONSNAME_245	스이쿤
MONSNAME_246	애버라스
MONSNAME_247	데기라스
MONSNAME_248	마기라스
MONSNAME_249	루기아
MONSNAME_250	칠색조
MONSNAME_251	세레비
MONSNAME_252	나무지기
MONSNAME_253	나무돌이
MONSNAME_254	나무킹
MONSNAME_255	아차모
MONSNAME_256	영치코
MONSNAME_257	번치코
MONSNAME_258	물짱이
MONSNAME_259	늪짱이
MONSNAME_260	대짱이
MONSNAME_261	포챠나
MONSNAME_262	그라에나
MONSNAME_263	지그제구리
MONSNAME_264	직구리
MONSNAME_265	개무소
MONSNAME_266	실쿤
MONSNAME_267	뷰티플라이
MONSNAME_268	카스쿤
MONSNAME_269	독케일
MONSNAME_270	연꽃몬
MONSNAME_271	로토스
MONSNAME_272	로파파
MONSNAME_273	도토링
MONSNAME_274	잎새코
MONSNAME_275	다탱구
MONSNAME_276	테일로
MONSNAME_277	스왈로
MONSNAME_278	갈모매
MONSNAME_279	패리퍼
MONSNAME_280	랄토스
MONSNAME_281	킬리아
MONSNAME_282	가디안
MONSNAME_283	비구술
MONSNAME_284	비나방
MONSNAME_285	버섯꼬
MONSNAME_286	버섯모
MONSNAME_287	게을로
MONSNAME_288	발바로
MONSNAME_289	게을킹
MONSNAME_290	토중몬
MONSNAME_291	아이스크
MONSNAME_292	껍질몬
MONSNAME_293	소곤룡
MONSNAME_294	노공룡
MONSNAME_295	폭음룡
MONSNAME_296	마크탕
MONSNAME_297	하리뭉
MONSNAME_298	루리리
MONSNAME_299	코코파스
MONSNAME_300	에나비
MONSNAME_301	델케티
MONSNAME_302	깜까미
MONSNAME_303	입치트
MONSNAME_304	가보리
MONSNAME_305	갱도라
MONSNAME_306	보스로라
MONSNAME_307	요가랑
MONSNAME_308	요가램
MONSNAME_309	썬더라이
MONSNAME_310	썬더볼트
MONSNAME_311	플러시
MONSNAME_312	마이농
MONSNAME_313	볼비트
MONSNAME_314	네오비트
MONSNAME_315	로젤리아
MONSNAME_316	꼴깍몬
MONSNAME_317	꿀꺽몬
MONSNAME_318	샤프니아
MONSNAME_319	샤크니아
MONSNAME_320	고래왕자
MONSNAME_321	고래왕
MONSNAME_322	둔타
MONSNAME_323	폭타
MONSNAME_324	코터스
MONSNAME_325	피그점프
MONSNAME_326	피그킹
MONSNAME_327	얼루기
MONSNAME_328	톱치
MONSNAME_329	비브라바
MONSNAME_330	플라이곤
MONSNAME_331	선인왕
MONSNAME_332	밤선인
MONSNAME_333	파비코
MONSNAME_334	파비코리
MONSNAME_335	쟝고
MONSNAME_336	세비퍼
MONSNAME_337	루나톤
MONSNAME_338	솔록
MONSNAME_339	미꾸리
MONSNAME_340	메깅
MONSNAME_341	가재군
MONSNAME_342	가재장군
MONSNAME_343	오뚝군
MONSNAME_344	점토도리
MONSNAME_345	릴링
MONSNAME_346	릴리요
MONSNAME_347	아노딥스
MONSNAME_348	아말도
MONSNAME_349	빈티나
MONSNAME_350	밀로틱
MONSNAME_351	캐스퐁
MONSNAME_352	켈리몬
MONSNAME_353	어둠대신
MONSNAME_354	다크펫
MONSNAME_355	해골몽
MONSNAME_356	미라몽
MONSNAME_357	트로피우스
MONSNAME_358	치렁
MONSNAME_359	앱솔
MONSNAME_360	마자
MONSNAME_361	눈꼬마
MONSNAME_362	얼음귀신
MONSNAME_363	대굴레오
MONSNAME_364	씨레오
MONSNAME_365	씨카이저
MONSNAME_366	진주몽
MONSNAME_367	헌테일
MONSNAME_368	분홍장이
MONSNAME_369	시라칸
MONSNAME_370	사랑동이
MONSNAME_371	아공이
MONSNAME_372	쉘곤
MONSNAME_373	보만다
MONSNAME_374	메탕
MONSNAME_375	메탕구
MONSNAME_376	메타그로스
MONSNAME_377	레지락
MONSNAME_378	레지아이스
MONSNAME_379	레지스틸
MONSNAME_380	라티아스
